"","POWIERZCHNIA PLONY I ZBIORY JĘCZMIENIA JAREGO","Powierzchnia w ha","Plony z 1 ha w dt","Zbiory w dt","Powierzchnia","Plony","Zbiory"
"1","P o l s k a",331517,39.5,13097005,77.8,104.5,81.3
"2","Dolnośląskie",25101,45,1130356,80.9,103,83.3
"3","Kujawsko-pomorskie",35388,42,1486583,78.1,105.8,82.6
"4","Lubelskie",37256,39,1452780,78.4,92.9,72.8
"5","Lubuskie",4241,30.2,128015,32.5,95,30.8
"6","Łódzkie",30092,37.2,1120374,81,109.4,88.7
"7","Małopolskie",14587,38.6,562705,83.4,101.6,84.6
"8","Mazowieckie",21912,35.1,770021,85.2,102,87.1
"9","Opolskie",18093,47.2,853298,69.9,100.6,70.3
"10","Podkarpackie",9892,35.9,354758,85.4,99.7,85
"11","Podlaskie",10138,36.4,368741,84.3,104.3,87.9
"12","Pomorskie",17710,36.9,654380,74.9,99.7,74.8
"13","Śląskie",11769,37.4,439871,77.4,101.1,78.2
"14","Świętokrzyskie",23102,37.2,859401,82,116.6,95.6
"15","Warmińsko-mazurskie",17268,45.8,791516,70.6,123.1,87
"16","Wielkopolskie",40009,39.1,1563443,83.3,103.4,86.1
"17","Zachodniopomorskie",14960,37.5,560763,75,120.6,90.4
