"","POWIERZCHNIA PLONY I ZBIORY PSZENŻYTA OZIMEGO","Powierzchnia w ha","Plony z 1 ha w dt","Zbiory w dt","Powierzchnia","Plony","Zbiory"
"1","P o l s k a",1169394,45.5,53177680,96.8,105.6,102.2
"2","Dolnośląskie",40777,44.4,1809135,100,88.4,88.4
"3","Kujawsko-pomorskie",74384,51,3791598,95.5,108.1,103.1
"4","Lubelskie",114613,44,5042155,98.9,99.5,98.4
"5","Lubuskie",43419,41.7,1809078,94.6,92.3,87.2
"6","Łódzkie",130952,46.7,6117701,97.9,111.2,108.9
"7","Małopolskie",13694,41.3,565708,108.7,113.2,123
"8","Mazowieckie",191878,39,7485167,92.7,105.7,98
"9","Opolskie",29732,53.8,1600580,102.2,100.9,103.2
"10","Podkarpackie",15615,38.9,607333,85,103.7,88.1
"11","Podlaskie",70876,42.8,3036713,108.9,107.3,117
"12","Pomorskie",39563,43.3,1714913,79,101.4,80.2
"13","Śląskie",32827,40.6,1334116,105.3,104.4,110
"14","Świętokrzyskie",43610,41.2,1796731,95.3,118.1,112.5
"15","Warmińsko-mazurskie",67410,52.4,3530402,97,121.6,117.9
"16","Wielkopolskie",198191,49.5,9813087,99.3,102.1,101.4
"17","Zachodniopomorskie",61854,50.5,3123263,94.9,112.7,107
