"","POWIERZCHNIA PLONY I ZBIORY ZBÓŻ PODSTAWOWYCH Z MIESZANKAMI ZBOŻOWYMI","Powierzchnia w ha","Plony z 1 ha w dt","Zbiory w dt","Powierzchnia","Plony","Zbiory"
"1","P o l s k a",5864544,45.9,269248355,92.6,107.7,99.7
"2","Dolnośląskie",400455,49.1,19651997,99.9,99,98.9
"3","Kujawsko-pomorskie",426187,51.1,21793128,93.8,110.6,103.7
"4","Lubelskie",620674,46.9,29087261,95.4,98.3,93.7
"5","Lubuskie",163825,40,6560825,83.1,97.6,81.1
"6","Łódzkie",476337,42.2,20082894,88.8,113.7,100.9
"7","Małopolskie",164169,45.4,7447074,97.5,117.3,114.1
"8","Mazowieckie",681082,36.8,25074628,86.7,104.5,90.7
"9","Opolskie",254935,62,15811842,96.4,109.2,105.1
"10","Podkarpackie",174157,39.8,6927887,96.5,106.7,102.9
"11","Podlaskie",322749,37.9,12233925,89.6,105.6,94.7
"12","Pomorskie",336823,47.4,15960349,87,101.7,88.4
"13","Śląskie",156627,43.5,6820843,94.7,104.8,99.4
"14","Świętokrzyskie",205632,40,8215515,95.8,115.6,110.7
"15","Warmińsko-mazurskie",349303,53.4,18636789,93.3,124.8,116.4
"16","Wielkopolskie",760342,48,36508519,95.7,105.7,101.2
"17","Zachodniopomorskie",371246,49.7,18434879,92.6,119.2,110.2
