"","POWIERZCHNIA PLONY I ZBIORY PSZENICY OGÓŁEM","Powierzchnia w ha","Plony z 1 ha w dt","Zbiory w dt","Powierzchnia","Plony","Zbiory"
"1","P o l s k a",2518444,53.4,134452558,105.4,105.3,110.9
"2","Dolnośląskie",265880,52.2,13879158,107,99.4,106.4
"3","Kujawsko-pomorskie",227481,56.3,12799841,105.9,107.2,113.5
"4","Lubelskie",329753,54,17808119,103.6,95.4,98.9
"5","Lubuskie",58105,44.5,2587139,107.2,97.8,105
"6","Łódzkie",121528,49.9,6061465,107.8,109.7,118.2
"7","Małopolskie",98687,51.1,5040049,109.4,119.7,130.7
"8","Mazowieckie",177071,43.3,7666439,103.9,99.5,103.5
"9","Opolskie",154878,68,10524492,105,107.8,113.1
"10","Podkarpackie",101565,43.9,4461943,109.3,107.9,118.1
"11","Podlaskie",60638,44.1,2674882,118.1,110.8,130.7
"12","Pomorskie",166520,58.1,9672866,98.4,97.8,96.3
"13","Śląskie",66147,50.9,3369842,107,103.5,110.9
"14","Świętokrzyskie",98225,42.7,4194782,109.5,111.8,122.6
"15","Warmińsko-mazurskie",184478,60.1,11084731,102.3,124.2,127.1
"16","Wielkopolskie",248626,55.3,13750712,107.7,103.4,111.3
"17","Zachodniopomorskie",158862,55.9,8876098,100.6,121,121.7
