"","Powierzchnia.w.ha","Plony.z.1.ha.w.dt","Zbiory.w.dt","Powierzchnia","Plony","Zbiory"
"POWIERZCHNIA PLONY I ZBIORY ZBÓŻ",436213,49.1,21431746,96.3,118,113.8
"POWIERZCHNIA PLONY I ZBIORY ZBÓŻ PODSTAWOWYCH Z MIESZANKAMI ZBOŻOWYMI",371246,49.7,18434879,92.6,119.2,110.2
"POWIERZCHNIA PLONY I ZBIORY ZBÓŻ PODSTAWOWYCH",367838,49.8,18313144,96.6,117.7,113.8
"POWIERZCHNIA PLONY I ZBIORY PSZENICY OGÓŁEM",158862,55.9,8876098,100.6,121,121.7
"POWIERZCHNIA PLONY I ZBIORY PSZENICY OZIMEJ",150341,56.7,8525070,101.3,120.1,121.7
"POWIERZCHNIA PLONY I ZBIORY PSZENICY JAREJ",8522,41.2,351028,89.8,133.8,120
"POWIERZCHNIA PLONY I ZBIORY ŻYTA",69756,42.7,2981568,103.8,109.2,113.5
"POWIERZCHNIA PLONY I ZBIORY JĘCZMIENIA OGÓŁEM",48640,48,2332843,90.9,120.9,109.9
"POWIERZCHNIA PLONY I ZBIORY JĘCZMIENIA OZIMEGO",33680,52.6,1772080,100.4,117.4,117.9
"POWIERZCHNIA PLONY I ZBIORY JĘCZMIENIA JAREGO",14960,37.5,560763,75,120.6,90.4
"POWIERZCHNIA PLONY I ZBIORY OWSA",23816,34.2,813861,77.8,112.5,87.4
"POWIERZCHNIA PLONY I ZBIORY PSZENŻYTA OGÓŁEM",66764,49.6,3308774,93.2,113.8,106.1
"POWIERZCHNIA PLONY I ZBIORY PSZENŻYTA OZIMEGO",61854,50.5,3123263,94.9,112.7,107
"POWIERZCHNIA PLONY I ZBIORY PSZENŻYTA JAREGO",4910,37.8,185511,76.1,121.9,92.7
"POWIERZCHNIA PLONY I ZBIORY MIESZANEK ZBOŻOWYCH OGÓŁEM",3408,35.7,121735,17,113.3,19.3
"POWIERZCHNIA PLONY I ZBIORY MIESZANEK ZBOŻOWYCH OZIMYCH",658,39.6,26067,34.8,110.3,38.4
"POWIERZCHNIA PLONY I ZBIORY MIESZANEK ZBOŻOWYCH JARYCH",2750,34.8,95668,15.1,112.3,17
