"","POWIERZCHNIA PLONY I ZBIORY ZBÓŻ","Powierzchnia w ha","Plony z 1 ha w dt","Zbiory w dt","Powierzchnia","Plony","Zbiory"
"1","P o l s k a",7196911,49.5,356510166,96.6,106.5,102.9
"2","Dolnośląskie",513952,52.6,27053508,96,94.4,90.7
"3","Kujawsko-pomorskie",586383,57.6,33798797,99.1,111.2,110.3
"4","Lubelskie",717473,48.5,34811230,99.7,99.2,98.9
"5","Lubuskie",199508,41,8265585,86.9,95,82.5
"6","Łódzkie",561633,46.2,25958618,94,114.1,107.3
"7","Małopolskie",196601,49.7,9779641,98.3,110.9,109.3
"8","Mazowieckie",831266,41.3,34314487,92.2,105.6,97.4
"9","Opolskie",325547,64.7,21072785,100,105,105.1
"10","Podkarpackie",231142,47.1,10877952,94.8,93.8,88.9
"11","Podlaskie",413285,45.3,18703041,101.8,115.6,117.5
"12","Pomorskie",367883,46.8,17209323,89.9,101.1,90.8
"13","Śląskie",190068,49,9306414,96.8,104.3,100.9
"14","Świętokrzyskie",233073,41.5,9681027,98.8,117.6,116.3
"15","Warmińsko-mazurskie",421242,55.7,23460291,100,123.5,123.4
"16","Wielkopolskie",971641,52.3,50785721,98.7,103.4,102
"17","Zachodniopomorskie",436213,49.1,21431746,96.3,118,113.8
