"","POWIERZCHNIA PLONY I ZBIORY OWSA","Powierzchnia w ha","Plony z 1 ha w dt","Zbiory w dt","Powierzchnia","Plony","Zbiory"
"1","P o l s k a",466272,32.8,15292853,88.4,104.5,92.4
"2","Dolnośląskie",16689,34.9,581747,90.2,97.8,88.1
"3","Kujawsko-pomorskie",11042,36.4,401539,86.9,107.7,93.4
"4","Lubelskie",64899,32.6,2118684,89.3,95.9,85.8
"5","Lubuskie",8321,29.3,243580,70.6,97.3,68.6
"6","Łódzkie",48619,33.5,1631040,85.4,111.7,95.5
"7","Małopolskie",16550,32.8,542996,101.3,115.5,117.1
"8","Mazowieckie",87553,29.1,2543554,90.5,100.3,90.7
"9","Opolskie",5698,39.3,223633,76.5,96.8,74
"10","Podkarpackie",23620,30.9,731003,104,103,107.3
"11","Podlaskie",45725,33,1508802,91.7,102.5,93.9
"12","Pomorskie",25103,32.3,811299,86.4,103.9,89.7
"13","Śląskie",12725,36.5,464214,86.5,104.3,90.2
"14","Świętokrzyskie",13526,31,419287,88.1,115.2,101.5
"15","Warmińsko-mazurskie",25215,38.5,972009,82.8,119.9,99.5
"16","Wielkopolskie",37170,34.6,1285605,89.4,107.5,96.1
"17","Zachodniopomorskie",23816,34.2,813861,77.8,112.5,87.4
