"","POWIERZCHNIA PLONY I ZBIORY PSZENŻYTA OGÓŁEM","Powierzchnia w ha","Plony z 1 ha w dt","Zbiory w dt","Powierzchnia","Plony","Zbiory"
"1","P o l s k a",1232712,45,55434008,96.2,105.9,101.7
"2","Dolnośląskie",42297,44,1861622,98.5,88.9,87.5
"3","Kujawsko-pomorskie",77530,50.6,3920974,95,108.1,102.6
"4","Lubelskie",120175,43.5,5225889,98.7,99.5,98.1
"5","Lubuskie",44580,41.4,1844306,92.1,92.8,85.4
"6","Łódzkie",137329,46.3,6362209,97.5,111.3,108.6
"7","Małopolskie",14671,40.8,598590,107.9,112.7,121.6
"8","Mazowieckie",201925,38.8,7829423,93.1,105.7,98.4
"9","Opolskie",30647,53.4,1636630,101.4,101.3,102.8
"10","Podkarpackie",16752,38.4,642540,82.2,103.5,85.1
"11","Podlaskie",75641,42.4,3210672,106.7,107.3,114.5
"12","Pomorskie",48637,41.3,2007167,79.7,101.5,80.8
"13","Śląskie",34769,40.4,1403002,104.4,104.7,109.2
"14","Świętokrzyskie",45648,40.8,1862063,95.1,117.6,111.6
"15","Warmińsko-mazurskie",71200,51.8,3688897,95,122.2,116
"16","Wielkopolskie",204147,49.1,10031250,99.5,101.9,101.5
"17","Zachodniopomorskie",66764,49.6,3308774,93.2,113.8,106.1
