"","POWIERZCHNIA PLONY I ZBIORY ZBÓŻ PODSTAWOWYCH","Powierzchnia w ha","Plony z 1 ha w dt","Zbiory w dt","Powierzchnia","Plony","Zbiory"
"1","P o l s k a",5519063,46.6,257341314,97.1,106.9,103.9
"2","Dolnośląskie",397144,49.2,19534354,101.4,98.6,100
"3","Kujawsko-pomorskie",412310,51.5,21245679,98.6,109.3,107.9
"4","Lubelskie",597701,47.4,28336521,98.9,97.3,96.3
"5","Lubuskie",162222,40.2,6516764,87.7,96.4,84.5
"6","Łódzkie",438830,42.6,18714041,93.8,112.7,105.9
"7","Małopolskie",151792,46.5,7053417,104.6,116.8,122.1
"8","Mazowieckie",612482,37.4,22892101,90.9,105.4,95.8
"9","Opolskie",250666,62.4,15639205,98.8,108.3,107
"10","Podkarpackie",162396,40.4,6564862,101.8,106.3,108.3
"11","Podlaskie",251247,39,9810936,105.2,107.4,113.1
"12","Pomorskie",313512,48.5,15210223,90.4,100.4,90.8
"13","Śląskie",149957,43.8,6572484,99.3,104.3,103.6
"14","Świętokrzyskie",195996,40.3,7889870,99.7,115.1,114.6
"15","Warmińsko-mazurskie",331865,54.1,17956256,97,123.8,120.2
"16","Wielkopolskie",723105,48.5,35091457,99.4,105,104.5
"17","Zachodniopomorskie",367838,49.8,18313144,96.6,117.7,113.8
