"","POWIERZCHNIA PLONY I ZBIORY PSZENICY OZIMEJ","Powierzchnia w ha","Plony z 1 ha w dt","Zbiory w dt","Powierzchnia","Plony","Zbiory"
"1","P o l s k a",2315014,54.4,125824317,106.5,105,111.8
"2","Dolnośląskie",253816,52.7,13375175,108.2,99.1,107.2
"3","Kujawsko-pomorskie",210820,57,12009168,107.5,106.5,114.4
"4","Lubelskie",295568,55.3,16347263,104.3,95.3,99.5
"5","Lubuskie",56181,45,2529179,117.2,97,113.8
"6","Łódzkie",107071,51.1,5471389,110.4,108.7,120
"7","Małopolskie",90247,51.8,4674951,107.9,119.9,129.4
"8","Mazowieckie",151914,44.1,6698454,104.1,98.9,102.9
"9","Opolskie",150044,68.5,10280723,106.1,107.5,114.2
"10","Podkarpackie",93474,44.5,4163489,110,108.5,119.5
"11","Podlaskie",49949,45.1,2254616,123.7,109.7,135.8
"12","Pomorskie",151629,59.3,8984689,98.9,97.2,96.1
"13","Śląskie",61606,51.6,3177177,108.7,102.8,111.7
"14","Świętokrzyskie",89502,43.4,3887666,109,112.1,122.4
"15","Warmińsko-mazurskie",165576,61.3,10144016,104.7,123.6,129.3
"16","Wielkopolskie",237277,56.1,13301292,108.1,103.3,111.6
"17","Zachodniopomorskie",150341,56.7,8525070,101.3,120.1,121.7
