"","POWIERZCHNIA PLONY I ZBIORY PSZENICY JAREJ","Powierzchnia w ha","Plony z 1 ha w dt","Zbiory w dt","Powierzchnia","Plony","Zbiory"
"1","P o l s k a",203431,42.4,8628241,93.6,107.1,100.3
"2","Dolnośląskie",12064,41.8,503983,86.7,102.5,88.7
"3","Kujawsko-pomorskie",16661,47.5,790673,89.5,113.1,101.1
"4","Lubelskie",34185,42.7,1460856,97.8,94.9,92.9
"5","Lubuskie",1924,30.2,57960,30.6,78.9,24.1
"6","Łódzkie",14457,40.8,590076,91.7,113.3,104
"7","Małopolskie",8441,43.3,365098,128.7,117,150.4
"8","Mazowieckie",25157,38.5,967985,103,104.9,108
"9","Opolskie",4833,50.4,243769,78.1,103.1,80.5
"10","Podkarpackie",8091,36.9,298454,101.1,99.7,100.8
"11","Podlaskie",10689,39.3,420266,97.3,111.6,108.7
"12","Pomorskie",14892,46.2,688177,93.7,105.2,98.6
"13","Śląskie",4541,42.4,192665,88.6,112.8,100
"14","Świętokrzyskie",8723,35.2,307116,115.1,109,125.4
"15","Warmińsko-mazurskie",18902,49.8,940715,85.2,125.4,106.8
"16","Wielkopolskie",11349,39.6,449420,99.8,102.9,102.6
"17","Zachodniopomorskie",8522,41.2,351028,89.8,133.8,120
