"","POWIERZCHNIA PLONY I ZBIORY JĘCZMIENIA OZIMEGO","Powierzchnia w ha","Plony z 1 ha w dt","Zbiory w dt","Powierzchnia","Plony","Zbiory"
"1","P o l s k a",307718,49.6,15250454,104.3,104,108.4
"2","Dolnośląskie",31183,48.1,1499380,93.7,94.5,88.5
"3","Kujawsko-pomorskie",15818,50,791234,97.4,107.3,104.6
"4","Lubelskie",18524,46.6,862734,129.1,96.1,124
"5","Lubuskie",20057,41.1,825023,91.9,83,76.3
"6","Łódzkie",14151,43.4,613630,111.1,111.3,123.5
"7","Małopolskie",5716,44.9,256802,107.8,105.6,114
"8","Mazowieckie",16074,39.3,630902,175,104.5,182.7
"9","Opolskie",33168,61.8,2049270,97.8,115.3,112.8
"10","Podkarpackie",5207,41.5,215969,99.6,109.2,108.7
"11","Podlaskie",12411,42.8,530607,155.5,112.9,175.4
"12","Pomorskie",9486,44,417513,90.6,93.6,84.9
"13","Śląskie",9429,45.1,424901,106.6,103,109.6
"14","Świętokrzyskie",7072,42,297361,113.2,113.8,128.9
"15","Warmińsko-mazurskie",8105,48.1,389754,119.9,116.5,139.6
"16","Wielkopolskie",67637,54.3,3673294,98,105.2,103.2
"17","Zachodniopomorskie",33680,52.6,1772080,100.4,117.4,117.9
