"","Powierzchnia.w.ha","Plony.z.1.ha.w.dt","Zbiory.w.dt","Powierzchnia","Plony","Zbiory"
"POWIERZCHNIA PLONY I ZBIORY ZBÓŻ",7196911,49.5,356510166,96.6,106.5,102.9
"POWIERZCHNIA PLONY I ZBIORY ZBÓŻ PODSTAWOWYCH Z MIESZANKAMI ZBOŻOWYMI",5864544,45.9,269248355,92.6,107.7,99.7
"POWIERZCHNIA PLONY I ZBIORY ZBÓŻ PODSTAWOWYCH",5519063,46.6,257341314,97.1,106.9,103.9
"POWIERZCHNIA PLONY I ZBIORY PSZENICY OGÓŁEM",2518444,53.4,134452558,105.4,105.3,110.9
"POWIERZCHNIA PLONY I ZBIORY PSZENICY OZIMEJ",2315014,54.4,125824317,106.5,105,111.8
"POWIERZCHNIA PLONY I ZBIORY PSZENICY JAREJ",203431,42.4,8628241,93.6,107.1,100.3
"POWIERZCHNIA PLONY I ZBIORY ŻYTA",662400,36,23814436,87,108.8,94.5
"POWIERZCHNIA PLONY I ZBIORY JĘCZMIENIA OGÓŁEM",639235,44.3,28347459,88.6,106,93.9
"POWIERZCHNIA PLONY I ZBIORY JĘCZMIENIA OZIMEGO",307718,49.6,15250454,104.3,104,108.4
"POWIERZCHNIA PLONY I ZBIORY JĘCZMIENIA JAREGO",331517,39.5,13097005,77.8,104.5,81.3
"POWIERZCHNIA PLONY I ZBIORY OWSA",466272,32.8,15292853,88.4,104.5,92.4
"POWIERZCHNIA PLONY I ZBIORY PSZENŻYTA OGÓŁEM",1232712,45,55434008,96.2,105.9,101.7
"POWIERZCHNIA PLONY I ZBIORY PSZENŻYTA OZIMEGO",1169394,45.5,53177680,96.8,105.6,102.2
"POWIERZCHNIA PLONY I ZBIORY PSZENŻYTA JAREGO",63317,35.6,2256328,85.5,105.6,90.3
"POWIERZCHNIA PLONY I ZBIORY MIESZANEK ZBOŻOWYCH OGÓŁEM",345481,34.5,11907041,52.8,101.2,53.4
"POWIERZCHNIA PLONY I ZBIORY MIESZANEK ZBOŻOWYCH OZIMYCH",62802,37.5,2354373,61.7,102.5,63.2
"POWIERZCHNIA PLONY I ZBIORY MIESZANEK ZBOŻOWYCH JARYCH",282679,33.8,9552668,51.2,100.3,51.4
